col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
H,M,0,1,-,279.7657333,-7.8598417,24.5309235,-0.8465551,T,,S
H,M,0,1,-,280.8737917,-9.3201694,23.7321865,-2.4883505,T,,S
H,M,0,1,-,281.8507625,-9.3081944,24.1814524,-3.3417546,T,,
H,M,0,1,+,283.84635,9.3466861,41.7069694,3.3784178,T,,
H,M,0,1,-,284.3987875,-19.153125,16.3921514,-9.9151536,T,,
H,M,0,1,-,284.5448542,-20.4237583,15.2844712,-10.5824614,T,,
H,M,1,0,+,44.8465458,60.5665278,138.0259673,1.5002439,T,C,C
H,M,1,0,+,45.1238292,62.7219583,137.1199221,3.4608309,T,,C
H,M,0,1,+,296.5662583,32.1161556,67.3909253,3.6581837,T,,
H,M,0,1,+,297.9961167,47.0273444,80.9928539,10.0915611,T,S,
H,M,0,2,+,300.2500208,42.0085639,77.4349079,6.171887,T,S,
H,M,0,2,+,300.8724708,36.0251472,72.5852415,2.6136608,A,S,C
H,M,0,2,+,300.8725417,36.0246056,72.5848126,2.6133245,A,S,C
H,M,0,2,+,301.4158333,35.6077722,72.4672563,2.018313,T,N,C
H,M,0,2,+,301.5414542,35.3860028,72.3349088,1.8130197,T,S,C
